date,returns
2020-01-02,0.0
2020-01-03,0.07254740313272877
2020-01-06,-9.07542491073067e-05
2020-01-07,0.00018094422520777888
2020-01-08,9.091196395639245e-05
2020-01-09,0.0
2020-01-10,-9.090369972251977e-05
2020-01-13,9.091196395639245e-05
2020-01-14,0.0
2020-01-15,0.0001808950447945398
2020-01-16,0.00018053062237206456
2020-01-17,0.0
2020-01-21,0.011299435028248588
2020-01-22,0.008379888268156424
2020-01-23,-0.006463527239150508
2020-01-24,0.08921933085501858
2020-01-27,9.025778668181295e-05
2020-01-28,0.0
2020-01-29,9.0415388682579e-05
2020-01-30,9.057294722795819e-05
2020-01-31,0.00018063233580644964
2020-02-03,9.112829588264134e-06
2020-02-04,-0.00018109512680138288
2020-02-05,9.056396409325254e-05
2020-02-06,-9.055576300438338e-05
2020-02-07,0.0002717747504353782
2020-02-10,0.0
2020-02-11,9.062219342487113e-05
2020-02-12,-9.061398178708663e-05
2020-02-13,0.00018124438684974226
2020-02-14,9.019166847629749e-05
2020-02-18,0.0
2020-02-19,9.068041365174994e-05
2020-02-20,0.0
2020-02-21,0.0003616122923337697
2020-02-24,0.0
2020-02-25,0.0002713388153486385
2020-02-26,0.0
2020-02-27,-0.1495233545066012
2020-02-28,0.000632693399541291
2020-03-02,0.13649312989528817
2020-03-03,0.10014967973337197
2020-03-04,0.12135742541687679
2020-03-05,0.08846371184725083
2020-03-06,-0.0524106990350885
2020-03-09,-0.20314941702854705
2020-03-10,0.18992561378893788
2020-03-11,0.0001803458766857868
2020-03-12,0.00018023094778815753
2020-03-13,0.3551450486924742
2020-03-16,0.000270708120180227
2020-03-17,0.08542038156574304
2020-03-18,0.0010820296473321679
2020-03-19,-0.00027048255041832605
2020-03-20,0.0002705557310224833
2020-03-23,-0.024296059812908603
2020-03-24,0.2901669894581514
2020-03-25,0.00027004670878001604
2020-03-26,-0.00017995510749540587
2020-03-27,0.0
2020-03-30,-0.00026977549872255786
2020-03-31,0.0
2020-04-01,0.00030598722410728207
2020-04-02,0.0
2020-04-03,-0.00036070265172821666
2020-04-06,9.039343371559821e-05
2020-04-07,0.000451185454590954
2020-04-08,-0.0005413264794385213
2020-04-09,0.0001807045418995793
2020-04-13,-9.029479150504626e-05
2020-04-14,0.0001807705269625497
2020-04-15,-9.045123065524715e-05
2020-04-16,9.04594128204611e-05
2020-04-17,0.0
2020-04-20,8.962819852917575e-05
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,-0.0001800632904360799
2020-04-24,0.00018009571906384798
2020-04-27,-0.0002703418231638585
2020-04-28,0.0002704149276284043
2020-04-29,-0.0002703418231638585
2020-04-30,0.0001807705269625497
2020-05-01,8.888746961571149e-06
2020-05-04,-9.036812418325076e-05
2020-05-05,9.03762913191679e-05
2020-05-06,-0.00018024243348025424
2020-05-07,0.0
2020-05-08,8.989051138152168e-05
2020-05-11,-0.00018034103304216475
2020-05-12,9.047491757850263e-05
2020-05-13,0.0
2020-05-14,8.989051138152168e-05
2020-05-15,9.03762913191679e-05
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,-9.036812418325076e-05
2020-05-22,9.03762913191679e-05
2020-05-26,-9.036812418325076e-05
2020-05-27,-8.988243180376262e-05
2020-05-28,8.989051138152168e-05
2020-05-29,-0.00018034103304216475
2020-06-01,9.911901798409205e-05
2020-06-02,0.0
2020-06-03,-9.013668425580479e-05
2020-06-04,-9.039178169116931e-05
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.5016479894528675
2020-06-12,0.0
2020-06-15,-0.0001805203183314885
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,9.039995310399518e-05
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,9.01448096100459e-05
2020-06-24,-9.013668425580479e-05
2020-06-25,0.0
2020-06-26,9.01448096100459e-05
2020-06-29,-9.013668425580479e-05
2020-06-30,0.00018045426727417407
2020-07-01,-0.00018042170940680272
2020-07-02,0.0
2020-07-06,9.01448096100459e-05
2020-07-07,0.0
2020-07-08,-9.013668425580479e-05
2020-07-09,9.01448096100459e-05
2020-07-10,0.0
2020-07-13,9.030131746905739e-05
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,-9.029316387740081e-05
2020-07-17,0.0
2020-07-20,9.030131746905739e-05
2020-07-21,0.0
2020-07-22,-9.029316387740081e-05
2020-07-23,0.0
2020-07-24,0.0
2020-07-27,9.030131746905739e-05
2020-07-28,0.0
2020-07-29,-9.029316387740081e-05
2020-07-30,0.0
2020-07-31,9.030131746905739e-05
2020-08-03,5.440636401363896e-05
2020-08-04,0.0
2020-08-05,-9.012364222971653e-05
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,-9.062563791888636e-05
2020-08-13,0.0
2020-08-14,9.063385166951094e-05
2020-08-17,9.013176523267988e-05
2020-08-18,-9.012364222971653e-05
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,-9.062563791888636e-05
2020-08-26,0.0
2020-08-27,0.04529788281634663
2020-08-28,9.013176523267988e-05
2020-08-31,-9.012364222971653e-05
2020-09-01,0.026048565121412803
2020-09-02,0.03614457831325301
2020-09-03,0.20016611295681064
2020-09-04,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.05731723040873246
2020-09-11,0.0
2020-09-14,0.0
2020-09-15,0.04250691034366702
2020-09-16,-0.04804389815712039
2020-09-17,0.0
2020-09-18,0.0
2020-09-21,0.0
2020-09-22,0.054640971265827135
2020-09-23,-0.09259839906754405
2020-09-24,0.01462894897862125
2020-09-25,0.0700804048717251
2020-09-28,0.05928456834705697
2020-09-29,-0.010484169409671193
2020-09-30,0.019787982691970758
2020-10-01,0.00011763045991781179
2020-10-02,-9.05376396656264e-05
2020-10-05,0.0
2020-10-06,9.054583747203265e-05
2020-10-07,-9.05376396656264e-05
2020-10-08,0.0
2020-10-09,0.0
2020-10-12,9.054583747203265e-05
2020-10-13,0.0
2020-10-14,-0.00018041682377004822
2020-10-15,8.989540274745705e-05
2020-10-16,0.0
2020-10-19,-8.988732229041787e-05
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,-0.11734880333402753
