date,returns
2020-01-02,0.0
2020-01-03,0.029934445974671386
2020-01-06,-0.0018165137995972737
2020-01-07,-0.0027296797228663788
2020-01-08,-0.036496211776679076
2020-01-09,-0.009469814405586455
2020-01-10,-9.06548832459657e-05
2020-01-13,9.066310229891932e-05
2020-01-14,0.0
2020-01-15,0.00018064623578198835
2020-01-16,0.0001808623876886865
2020-01-17,0.0
2020-01-21,9.053920824457326e-05
2020-01-22,0.0
2020-01-23,0.00018122783099053943
2020-01-24,9.059749670744824e-05
2020-01-27,8.976047628251392e-05
2020-01-28,0.0
2020-01-29,9.074690671143403e-05
2020-01-30,9.057293972250706e-05
2020-01-31,0.0001808808974277709
2020-02-03,8.947138812704738e-06
2020-02-04,-0.00018084656738634708
2020-02-05,9.031535220957337e-05
2020-02-06,-9.030719608335204e-05
2020-02-07,0.0002716089215990656
2020-02-10,0.0
2020-02-11,9.029082841503728e-05
2020-02-12,-9.028267671736494e-05
2020-02-13,0.00018091299931967105
2020-02-14,9.052295850230469e-05
2020-02-18,0.0
2020-02-19,9.01835122676905e-05
2020-02-20,0.0
2020-02-21,0.0003618607991890343
2020-02-24,0.0
2020-02-25,0.00027117326390547277
2020-02-26,0.0
2020-02-27,0.00045266044764725387
2020-02-28,0.0006325280201972227
2020-03-02,0.0003618183666839433
2020-03-03,0.0009041774369304837
2020-03-04,0.0003613607672505597
2020-03-05,0.0009030343174498219
2020-03-06,0.00027036903765773176
2020-03-09,0.0006313500281547985
2020-03-10,-0.0005406627307496305
2020-03-11,0.0001803458766857868
2020-03-12,0.00018023094778815753
2020-03-13,-0.00045078455958653393
2020-03-16,0.000270708120180227
2020-03-17,9.023908908460562e-05
2020-03-18,0.0010821121391853966
2020-03-19,-0.0002704002367998177
2020-03-20,0.00027047337286388817
2020-03-23,-0.0002704002367998177
2020-03-24,0.00036046649205421686
2020-03-25,0.00027021129898053056
2020-03-26,-0.0001801196310320534
2020-03-27,0.0
2020-03-30,-0.0002702692693388814
2020-03-31,0.0
2020-04-01,0.00030681056057261206
2020-04-02,0.0
2020-04-03,-0.0003608670949120785
2020-04-06,9.047573690182593e-05
2020-04-07,0.00045060907958362206
2020-04-08,-0.0005408329271395278
2020-04-09,0.00018037519522465933
2020-04-13,-8.98832456148582e-05
2020-04-14,0.0001803588771223449
2020-04-15,-9.045123809967463e-05
2020-04-16,9.045942026623549e-05
2020-04-17,0.0
2020-04-20,9.012202522215079e-05
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,-0.00018055699116011406
2020-04-24,0.0001805895978745411
2020-04-27,-0.0002704240077265883
2020-04-28,0.00027049715665176873
2020-04-29,-0.0002704240077265883
2020-04-30,0.0001803588771223449
2020-05-01,8.80644447376268e-06
2020-05-04,-9.036813905829485e-05
2020-05-05,9.037630619690083e-05
2020-05-06,-0.00018048937063282387
2020-05-07,0.0
2020-05-08,9.0137500435253e-05
2020-05-11,-0.00018017644286431322
2020-05-12,9.006329374966504e-05
2020-05-13,0.0
2020-05-14,9.0137500435253e-05
2020-05-15,9.037630619690083e-05
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,-9.036813905829485e-05
2020-05-22,9.037630619690083e-05
2020-05-26,-9.036813905829485e-05
2020-05-27,-9.012937639854865e-05
2020-05-28,9.0137500435253e-05
2020-05-29,-0.00018017644286431322
2020-06-01,9.93659922813946e-05
2020-06-02,0.0
2020-06-03,-9.021897858287058e-05
2020-06-04,-9.07210628622874e-05
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0001809645989444116
2020-06-12,0.0
2020-06-15,-0.0001809318566835306
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,9.07292939202646e-05
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,9.02271187813675e-05
2020-06-24,-9.021897858287058e-05
2020-06-25,0.0
2020-06-26,9.02271187813675e-05
2020-06-29,-9.021897858287058e-05
2020-06-30,0.00018053656157622166
2020-07-01,-0.00018050397400940315
2020-07-02,0.0
2020-07-06,9.02271187813675e-05
2020-07-07,0.0
2020-07-08,-9.021897858287058e-05
2020-07-09,9.02271187813675e-05
2020-07-10,0.0
2020-07-13,9.030129516916881e-05
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,-9.02931415815391e-05
2020-07-17,0.0
2020-07-20,9.030129516916881e-05
2020-07-21,0.0
2020-07-22,-9.02931415815391e-05
2020-07-23,0.0
2020-07-24,0.0
2020-07-27,9.030129516916881e-05
2020-07-28,0.0
2020-07-29,-9.02931415815391e-05
2020-07-30,0.0
2020-07-31,9.030129516916881e-05
2020-08-03,5.424173227186351e-05
2020-08-04,0.0
2020-08-05,-9.037054888009656e-05
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,-9.062565283806455e-05
2020-08-13,0.0
2020-08-14,9.063386659139364e-05
2020-08-17,9.037871645430961e-05
2020-08-18,-9.037054888009656e-05
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,-9.062565283806455e-05
2020-08-26,0.0
2020-08-27,9.063386659139364e-05
2020-08-28,9.037871645430961e-05
2020-08-31,-9.037054888009656e-05
2020-09-01,-5.40790680423328e-05
2020-09-02,8.988970483826397e-05
2020-09-03,-8.988162540548589e-05
2020-09-04,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-21,0.0
